site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
MZT,0,3,,Mezraa Teleilat,,,,,,,,,,https://www.openstreetmap.org/node/183688350,,,,,,,,,,37.9859,36.9773
NAB,260,3,Nabada,Tall Baiydar,تل بيدر,,,,,,,uncertain (mod. Beydar),https://pleiades.stoa.org/places/423885388,https://www.openstreetmap.org/way/226879817,https://www.geonames.org/171645,https://en.wikipedia.org/wiki/Tell_Beydar,https://ar.wikipedia.org//wiki/تل_بيدر,,,,,,https://wikidata.org/wiki/Q1658146,40.5872,36.7381
NAG,0,1,,Tall Nūyaja,تل نويجة,,,,,,,Tell Nuaga,,,,,,,,,,,,45.0974,32.3300
NAL,0,1,,Nalbandyan,,Նալբանդյան,,,,,,,,https://www.openstreetmap.org/way/292767301,https://www.geonames.org/616385,,,,,,,,,43.9873,40.0628
NAS,0,1,,Nashteban,,,,,,,,,,,,,,,,,,,,47.8013,38.0076
NAZ,0,1,,Anaz,,,,,,,,,https://pleiades.stoa.org/places/713816456,https://www.openstreetmap.org/node/1918268689,,,,,,,,,,39.0270,37.1400
NER,296,2,Nereb,Naiyrab,نيرب,,,,,,,Nereb (mod. Neirab) ?,https://pleiades.stoa.org/places/633912597,,,,,,,,,,,37.2265,36.1777
NGB,273,2,,Nigūb,نگوب,,,,,,,uncertain (mod. Negub tunnel),https://pleiades.stoa.org/places/413309737,,,,,,,,,,,43.4762,36.0446
NGN,40 : 399,3,Nigin,Ishān Zurghul,ايشان زرغل,,,,,,,Nigin (mod. Surghul) : Sirara (mod. Tell Zurghul),https://pleiades.stoa.org/places/912909,https://www.openstreetmap.org/node/2485672107,https://www.geonames.org/7024991,,,,,,,,,46.4948,31.3777
NHV,28,1,,Nihāwand,نهاوند,,,,,,,uncertain (mod. Nihavand ?),https://pleiades.stoa.org/places/903088,https://www.openstreetmap.org/relation/12941876,https://www.geonames.org/122915,,,,,,,,,48.3769,34.1889
NIM,81 : 229,3,Kalhu,Nimrūd,نمرود,,,,,,,"Kalhu (mod. Nimrud) : uncertain (mod. Tawfiqiyah, nearby) : uncertain (mod. Tawfiqiyah)",https://pleiades.stoa.org/places/894019,https://www.openstreetmap.org/way/295528281,https://www.geonames.org/93006,https://en.wikipedia.org/wiki/Nimrud,https://ar.wikipedia.org/wiki/كالح,,,,,,https://wikidata.org/wiki/Q237614,43.3385,36.1022
NIP,22,3,Nippur,Nufar,نفر,,,,,,,Nippur (mod. Nuffar),https://pleiades.stoa.org/places/912910,https://www.openstreetmap.org/node/7316513646,https://www.geonames.org/92882,https://en.wikipedia.org/wiki/Nippur,,,,,,,https://wikidata.org/wiki/Q188395,45.2300,32.1271
NJF,392,3,,Najafābād,,,نجف‌آباد,,,,,Kišesim (mod. Najafabad),,https://www.openstreetmap.org/node/4541037056,https://www.geonames.org/122847,,,,,,,,,47.9761,34.6527
NKH,8,0,,,,,,,,,,uncertain (mod. Tell Abu Nakhlab),,,,,,,,,,,,,
NKM,0,1,,Новый Кумак,,,,,,,,,,https://www.openstreetmap.org/node/1419404944,https://www.geonames.org/6268312,,,,,,,,,58.6555,51.2297
NNV,279 : 86,3,Nineveh,Nīnūa,نينوى,,,,,,,Nineveh (mod. Kuyunjik) : Nineveh (mod. Nebi Yunus),https://pleiades.stoa.org/places/874621,https://www.openstreetmap.org/way/202644722,https://www.geonames.org/92878,https://en.wikipedia.org/wiki/Nineveh,https://ar.wikipedia.org/wiki/نينوى,,,,,http://publikationen.badw.de/de/rla/index#8744,https://wikidata.org/wiki/Q5680,43.1621,36.3582
NOR,0,2,,Noragavid,,Նորագավիթ,,,,,,,,https://www.openstreetmap.org/way/130654553,https://www.geonames.org/616360,,,,,,,,,44.4743,40.1198
NQS,422,3,,Naqsh Rustam,,,نقش رستم,,,,,uncertain (mod. Naqš-i-Rustam),,https://www.openstreetmap.org/node/235636111,https://www.geonames.org/122681,"https://en.wikipedia.org/wiki/Kastri,_Cythera",https://ar.wikipedia.org/wiki/نفر,https://fa.wikipedia.org/wiki/نقش_رستم,,,,,,52.8745,29.9885
NRB,245,3,Nerebtum,Ishkhālī,أشخالي,,,,,,,Nerebtum (mod. Iščali),,https://www.openstreetmap.org/node/6411927106,https://www.geonames.org/91213,https://en.wikipedia.org/wiki/Tell_Ishchali,,,,,,http://publikationen.badw.de/de/rla/index#8355,https://wikidata.org/wiki/Q3338309,44.5828,33.3029
NRK,0,1,,Namrīk,نمريك,,,,,,,,,,,https://en.wikipedia.org/wiki/Nemrik_9,,,,,,,https://wikidata.org/wiki/Q13708140,42.8822,36.7241
NSB,312,3,,Tall al-Naṣbah,تل النصبة,,,,,תל אנצבה,,uncertain (mod. Tell en-Nasbeh),,https://www.openstreetmap.org/node/2675850287,,https://en.wikipedia.org/wiki/Tell_en-Nasbeh,,,,https://he.wikipedia.org/wiki/תל_א-נצבה,,,https://wikidata.org/wiki/Q7697543,35.2166,31.8851
NSR,159,3,,Jamdat Naṣr,جمدة نصر‎,,,,,,,uncertain (mod. Jemdet Nasr),https://pleiades.stoa.org/places/733910291,https://www.openstreetmap.org/way/533484067,https://www.geonames.org/95275,https://en.wikipedia.org/wiki/Jemdet_Nasr,https://ar.wikipedia.org/wiki/جمدة_نصر,,,,,,https://wikidata.org/wiki/Q342799,44.7796,32.7181
