site_id,accuracy,cdli_provenience_id,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
THY,3,440,,Tilmen Höyük,,,,,,,,uncertain (mod. Tilmen Höyük),,https://www.openstreetmap.org/way/231331200,,,,,,,https://tr.wikipedia.org/wiki/Tilmen_Höyük,,,36.7037,37.0302
TIJ,3,0,,Tall ‘Atij,تل عتيج,,,,,,,,,,,,,,,,,,,40.8644,36.4303
TIK,1,183,,Tikrīt,تكريت,,,,,,,uncertain (mod. Tikrit),https://pleiades.stoa.org/places/894099,https://www.openstreetmap.org//2480255384,,https://en.wikipedia.org/wiki/Tikrit,https://ar.wikipedia.org/wiki/تكريت,,,,,,,43.6753,34.5974
TIR,3,0,,Tiryntha,,,,Τίρυνθα,,,,,https://pleiades.stoa.org/places/570740,https://www.openstreetmap.org/way/281222021,https://www.geonames.org/408652,,,,,,,,,22.8003,37.5992
TJZ,3,0,,Tarjān,ترجان,,,,,,,,,https://www.openstreetmap.org/node/4559230013,https://www.geonames.org/90184,,,,,,,,,43.7581,36.1224
TKH,2,0,,Tulūl Khaṭāb,تلول خطاب,,,,,,,,https://pleiades.stoa.org/places/894167,https://www.openstreetmap.org/node/2486303399,https://www.geonames.org/6806341,,,,,,,,,44.5136,33.4767
TKP,1,0,,Taşköprü,,,,,,,,,,,,,,,,,,,,43.2489,40.9553
TLB,2,0,,Tilbes Höyük,,,,,,,,,,,,,,,,,,,,37.8735,37.0886
TLH,3,191,,Tall al-Laḥam,تل اللحم,,,,,,,uncertain (mod. Tel Laham),https://pleiades.stoa.org/places/912959,https://www.openstreetmap.org/node/2482342329,https://www.geonames.org/6739313,,,,,,,,,45.4062,32.0509
TLL,3,107,,Tulūl al-Lak,تلول اللك,,,,,,,uncertain (mod. Tulul al-Lak),https://pleiades.stoa.org/places/741318296,https://www.openstreetmap.org/node/2488247250,https://www.geonames.org/6860784,,,,,,,,,43.2638,36.2983
TMH,3,7,,Tall Muḥamad,تل محمد,,,,,,,uncertain (mod. Tell Muhammad),https://pleiades.stoa.org/places/249999668,,,,,,,,,,,44.4681,33.3009
TMU,3,0,,Tappah Mūsiyān,,,تپه موسیان,,,,,,,,https://www.geonames.org/122985,,,,,,,,,47.3510,32.5530
TNA,1,194,,‘Anah,عنه,,,,,,,uncertain (mod. 'Ana),https://pleiades.stoa.org/places/893936,,,,,,,,,,,41.9794,34.4677
TNH,2,0,,Tʻanahat,,Թանահատ,,,,,,,,https://www.openstreetmap.org/node/7900615594,,https://en.wikipedia.org/wiki/Tanahat,,https://fa.wikipedia.org/wiki/تاناهات,,,,,,45.9250,39.4156
TNP,3,405,Tunip,Tall al-A‘shārnah,تل العشارنة,,,,,,,Tunip (mod. Acharneh),,https://www.openstreetmap.org/node/567200880,https://www.geonames.org/174035,,,,,,,,,36.3959,35.2877
TOD,3,0,,Ṭūd,طود,,,,,,,,https://pleiades.stoa.org/places/786132,https://www.openstreetmap.org/node/768808943,https://www.geonames.org/347422,https://en.wikipedia.org/wiki/El-Tod,ar.wikipedia.org/wiki/الطود_(الأقصر),,,,,,https://wikidata.org/wiki/Q287731,32.5332,25.5832
TOP,2,0,,Kocapınar,,,,,,,,,,https://www.openstreetmap.org/node/2292068166,https://www.geonames.org/306910,,,,,,,,,43.2021,39.1002
TRM,3,0,,Alazlı,,,,,,,,,,https://www.openstreetmap.org/node/1492400010,https://www.geonames.org/324139,,,,,,,,,41.8247,38.6939
TRQ,3,250,Terqa,Tall al-Ashārah,تل الأشارة,,,,,,,Terqa (mod. Ashara),https://pleiades.stoa.org/places/894158,https://www.openstreetmap.org/node/3385387638,,https://en.wikipedia.org/wiki/Terqa,,,,,,,https://wikidata.org/wiki/Q644872,40.5677,34.9229
TRT,1,0,,Ṭarṭūs,طرطوس,,,,,,,,,https://www.openstreetmap.org/node/192296363,https://www.geonames.org/163345,https://en.wikipedia.org/wiki/Tartus,https://ar.wikipedia.org/wiki/طرطوس,,,,,,,35.8865,34.8958
TSA,3,0,,Tall Saka,تل سك,,,,,,,,,https://www.openstreetmap.org/node/567111886,https://www.geonames.org/164959,"https://en.wikipedia.org/wiki/Sakka,_Rif_Dimashq_Governorate",https://ar.wikipedia.org/wiki/سكا_(ريف_دمشق),,,,,,https://wikidata.org/wiki/Q7403017,36.4682,33.4402
TSB,3,126,,Tall Sabā,,,,,,,,uncertain (mod. Tell Sabaa),,,,,,,,,,,,44.7514,33.4638
TSI,3,74,,Tapah Sīyalk,تپه سیلک,,,,,,,uncertain (mod. Tepe Sialk),,https://www.openstreetmap.org/way/235301286,https://www.geonames.org/9210558,https://en.wikipedia.org/wiki/Tepe_Sialk,https://ar.wikipedia.org/wiki/تل_سيلك,,,,,,https://wikidata.org/wiki/Q1581555,51.4042,33.9688
TSO,3,146,,Tapah Sofālīn,,,تپه سفالین,,,,,uncertain (mod. Tepe Sofalin),,,,,,,,,,,,51.7366,35.3161
TSV,2,0,Alitschalu,Ōdzaberd,,Օձաբերդ,,,,,,,,https://www.openstreetmap.org/way/668199003,,https://en.wikipedia.org/wiki/Odzaberd,,,,,,,https://wikidata.org/wiki/Q53483,45.4950,40.1537
TTA,3,0,,Tall al-Ṭāya,تل الطايع,,,,,,,,https://pleiades.stoa.org/places/574198887,https://www.openstreetmap.org/node/4851840698,,https://en.wikipedia.org/wiki/Tell_Taya,https://ar.wikipedia.org/wiki/تل_الطايع,,,,,,https://wikidata.org/wiki/Q7697518,42.4933,36.3324
TTB,3,130,Tutub,Khafājī,خفاجي,,,,,,,Tutub (mod. Khafaje),https://pleiades.stoa.org/places/490043590,https://www.openstreetmap.org/way/307248855,,https://en.wikipedia.org/wiki/Khafajah,https://ar.wikipedia.org/wiki/توتوب,,,,,,https://wikidata.org/wiki/Q1305112,44.5559,33.3554
